Comunidades;Anio;PIB;Gasto;Numero_Parados;Numero_habitantes;Tasa_Paro;Inferior_2_etapa_Secundaria;2_etapa_Secundaria;Educacion_Superior;Tipo_Delito;Numero_Delitos;Tasa_Delitos
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Concurso de delitos;186.0;0.014657
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Contra el orden público;213.0;0.016785
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Contra el patrimonio y el orden socioeconomico;768.0;0.060519
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Contra la Administración de Justicia;248.0;0.019543
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Contra la libertad;116.0;0.009141
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Contra la seguridad colectiva;548.0;0.043183
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Lesiones;778.0;0.061307
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Otros delitos;307.0;0.024192
Aragon;2005;22343.85;9041.33;35200;1269027.0;2.77;46.7;22.8;30.5;Total;3164.0;0.249325
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Concurso de delitos;254.0;0.019883
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Contra el orden público;182.0;0.014247
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Contra el patrimonio y el orden socioeconomico;828.0;0.064816
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Contra la Administración de Justicia;213.0;0.016674
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Contra la libertad;140.0;0.010959
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Contra la seguridad colectiva;572.0;0.044776
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Lesiones;598.0;0.046811
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Otros delitos;285.0;0.02231
Aragon;2006;23931.81;11111.15;33875;1277471.0;2.65;46.3;21.1;32.6;Total;3072.0;0.240475
Aragon;2007;25582.74;11593.96;33725;1296655.0;2.6;44.7;22.1;33.2;Contra el orden público;439.0;0.033856
Aragon;2007;25582.74;11593.96;33725;1296655.0;2.6;44.7;22.1;33.2;Contra el patrimonio y el orden socioeconomico;1072.0;0.082674
