Tipo de delito;Sexo del infractor;Lugar de condena;Total
6.1. Detenciones ilegales y secuestro;Varón;Cantabria;1
6.1. Detenciones ilegales y secuestro;Varón;Castilla y León;12
6.1. Detenciones ilegales y secuestro;Varón;Castilla-La Mancha;12
6.1. Detenciones ilegales y secuestro;Varón;Cataluña;34
6.1. Detenciones ilegales y secuestro;Varón;Comunitat Valenciana;107
6.1. Detenciones ilegales y secuestro;Varón;Extremadura;6
6.1. Detenciones ilegales y secuestro;Varón;Galicia;14
6.1. Detenciones ilegales y secuestro;Varón;Madrid (Comunidad de)(1);54
6.1. Detenciones ilegales y secuestro;Varón;Murcia (Región de);7
6.1. Detenciones ilegales y secuestro;Varón;Navarra (Comunidad Foral de);3
6.1. Detenciones ilegales y secuestro;Varón;País Vasco;8
6.1. Detenciones ilegales y secuestro;Varón;Rioja (La);3
6.1. Detenciones ilegales y secuestro;Varón;Ceuta;0
6.1. Detenciones ilegales y secuestro;Varón;Melilla;1
6.1. Detenciones ilegales y secuestro;Mujer;Total;25
6.1. Detenciones ilegales y secuestro;Mujer;Andalucía;2
6.1. Detenciones ilegales y secuestro;Mujer;Aragón;2
6.1. Detenciones ilegales y secuestro;Mujer;Asturias (Principado de);0
6.1. Detenciones ilegales y secuestro;Mujer;Balears (Illes);0
6.1. Detenciones ilegales y secuestro;Mujer;Canarias;0
6.1. Detenciones ilegales y secuestro;Mujer;Cantabria;0
6.1. Detenciones ilegales y secuestro;Mujer;Castilla y León;0
6.1. Detenciones ilegales y secuestro;Mujer;Castilla-La Mancha;1
6.1. Detenciones ilegales y secuestro;Mujer;Cataluña;5
6.1. Detenciones ilegales y secuestro;Mujer;Comunitat Valenciana;7
6.1. Detenciones ilegales y secuestro;Mujer;Extremadura;0
6.1. Detenciones ilegales y secuestro;Mujer;Galicia;0
6.1. Detenciones ilegales y secuestro;Mujer;Madrid (Comunidad de)(1);5
6.1. Detenciones ilegales y secuestro;Mujer;Murcia (Región de);3
6.1. Detenciones ilegales y secuestro;Mujer;Navarra (Comunidad Foral de);0
6.1. Detenciones ilegales y secuestro;Mujer;País Vasco;0
6.1. Detenciones ilegales y secuestro;Mujer;Rioja (La);0
6.1. Detenciones ilegales y secuestro;Mujer;Ceuta;0
6.1. Detenciones ilegales y secuestro;Mujer;Melilla;0
6.2. De las amenazas;Total;Total;7.637
6.2. De las amenazas;Total;Andalucía;1.926
6.2. De las amenazas;Total;Aragón;209
6.2. De las amenazas;Total;Asturias (Principado de);145
6.2. De las amenazas;Total;Balears (Illes);343
6.2. De las amenazas;Total;Canarias;456
6.2. De las amenazas;Total;Cantabria;61
6.2. De las amenazas;Total;Castilla y León;288
6.2. De las amenazas;Total;Castilla-La Mancha;298
6.2. De las amenazas;Total;Cataluña;1.063
6.2. De las amenazas;Total;Comunitat Valenciana;857
6.2. De las amenazas;Total;Extremadura;164
6.2. De las amenazas;Total;Galicia;391
6.2. De las amenazas;Total;Madrid (Comunidad de)(1);641
6.2. De las amenazas;Total;Murcia (Región de);353
6.2. De las amenazas;Total;Navarra (Comunidad Foral de);97
6.2. De las amenazas;Total;País Vasco;264
6.2. De las amenazas;Total;Rioja (La);55
6.2. De las amenazas;Total;Ceuta;10
6.2. De las amenazas;Total;Melilla;16
6.2. De las amenazas;Varón;Total;7.445
6.2. De las amenazas;Varón;Andalucía;1.881
6.2. De las amenazas;Varón;Aragón;192
6.2. De las amenazas;Varón;Asturias (Principado de);143
6.2. De las amenazas;Varón;Balears (Illes);336
6.2. De las amenazas;Varón;Canarias;452
6.2. De las amenazas;Varón;Cantabria;56
6.2. De las amenazas;Varón;Castilla y León;278
6.2. De las amenazas;Varón;Castilla-La Mancha;292
6.2. De las amenazas;Varón;Cataluña;1.038
6.2. De las amenazas;Varón;Comunitat Valenciana;843
6.2. De las amenazas;Varón;Extremadura;158
6.2. De las amenazas;Varón;Galicia;380
6.2. De las amenazas;Varón;Madrid (Comunidad de)(1);628
6.2. De las amenazas;Varón;Murcia (Región de);342
6.2. De las amenazas;Varón;Navarra (Comunidad Foral de);93
6.2. De las amenazas;Varón;País Vasco;259
6.2. De las amenazas;Varón;Rioja (La);51
6.2. De las amenazas;Varón;Ceuta;10
6.2. De las amenazas;Varón;Melilla;13
6.2. De las amenazas;Mujer;Total;192
6.2. De las amenazas;Mujer;Andalucía;45
6.2. De las amenazas;Mujer;Aragón;17
6.2. De las amenazas;Mujer;Asturias (Principado de);2
6.2. De las amenazas;Mujer;Balears (Illes);7
6.2. De las amenazas;Mujer;Canarias;4
6.2. De las amenazas;Mujer;Cantabria;5
6.2. De las amenazas;Mujer;Castilla y León;10
6.2. De las amenazas;Mujer;Castilla-La Mancha;6
6.2. De las amenazas;Mujer;Cataluña;25
6.2. De las amenazas;Mujer;Comunitat Valenciana;14
6.2. De las amenazas;Mujer;Extremadura;6
6.2. De las amenazas;Mujer;Galicia;11
6.2. De las amenazas;Mujer;Madrid (Comunidad de)(1);13
6.2. De las amenazas;Mujer;Murcia (Región de);11
