Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
01 Andalucía;Hombres;De 31 a 35 años;2015;5.543
01 Andalucía;Hombres;De 31 a 35 años;2014;5.830
01 Andalucía;Hombres;De 31 a 35 años;2013;5.985
01 Andalucía;Hombres;De 36 a 40 años;2019;6.146
01 Andalucía;Hombres;De 36 a 40 años;2018;6.251
01 Andalucía;Hombres;De 36 a 40 años;2017;6.090
01 Andalucía;Hombres;De 36 a 40 años;2016;5.890
01 Andalucía;Hombres;De 36 a 40 años;2015;5.206
01 Andalucía;Hombres;De 36 a 40 años;2014;5.051
01 Andalucía;Hombres;De 36 a 40 años;2013;5.279
01 Andalucía;Hombres;De 41 a 50 años;2019;9.472
01 Andalucía;Hombres;De 41 a 50 años;2018;9.449
01 Andalucía;Hombres;De 41 a 50 años;2017;9.169
01 Andalucía;Hombres;De 41 a 50 años;2016;8.829
01 Andalucía;Hombres;De 41 a 50 años;2015;7.587
01 Andalucía;Hombres;De 41 a 50 años;2014;7.486
01 Andalucía;Hombres;De 41 a 50 años;2013;7.532
01 Andalucía;Hombres;De 51 a 60 años;2019;4.713
01 Andalucía;Hombres;De 51 a 60 años;2018;4.667
01 Andalucía;Hombres;De 51 a 60 años;2017;4.341
01 Andalucía;Hombres;De 51 a 60 años;2016;4.113
01 Andalucía;Hombres;De 51 a 60 años;2015;3.286
01 Andalucía;Hombres;De 51 a 60 años;2014;3.063
01 Andalucía;Hombres;De 51 a 60 años;2013;3.024
01 Andalucía;Hombres;De 61 a 70 años;2019;1.560
01 Andalucía;Hombres;De 61 a 70 años;2018;1.393
01 Andalucía;Hombres;De 61 a 70 años;2017;1.330
01 Andalucía;Hombres;De 61 a 70 años;2016;1.230
01 Andalucía;Hombres;De 61 a 70 años;2015;918
01 Andalucía;Hombres;De 61 a 70 años;2014;860
01 Andalucía;Hombres;De 61 a 70 años;2013;863
01 Andalucía;Hombres;71 y más años;2019;472
01 Andalucía;Hombres;71 y más años;2018;438
01 Andalucía;Hombres;71 y más años;2017;411
01 Andalucía;Hombres;71 y más años;2016;360
01 Andalucía;Hombres;71 y más años;2015;245
01 Andalucía;Hombres;71 y más años;2014;234
01 Andalucía;Hombres;71 y más años;2013;219
01 Andalucía;Mujeres;Total ;2019;11.224
01 Andalucía;Mujeres;Total ;2018;12.074
01 Andalucía;Mujeres;Total ;2017;11.627
01 Andalucía;Mujeres;Total ;2016;10.068
01 Andalucía;Mujeres;Total ;2015;6.238
01 Andalucía;Mujeres;Total ;2014;5.330
01 Andalucía;Mujeres;Total ;2013;5.131
01 Andalucía;Mujeres;De 18 a 20 años;2019;967
01 Andalucía;Mujeres;De 18 a 20 años;2018;1.129
01 Andalucía;Mujeres;De 18 a 20 años;2017;1.104
01 Andalucía;Mujeres;De 18 a 20 años;2016;977
01 Andalucía;Mujeres;De 18 a 20 años;2015;580
01 Andalucía;Mujeres;De 18 a 20 años;2014;472
01 Andalucía;Mujeres;De 18 a 20 años;2013;476
01 Andalucía;Mujeres;De 21 a 25 años;2019;1.580
01 Andalucía;Mujeres;De 21 a 25 años;2018;1.815
01 Andalucía;Mujeres;De 21 a 25 años;2017;1.807
01 Andalucía;Mujeres;De 21 a 25 años;2016;1.677
01 Andalucía;Mujeres;De 21 a 25 años;2015;1.092
01 Andalucía;Mujeres;De 21 a 25 años;2014;1.010
01 Andalucía;Mujeres;De 21 a 25 años;2013;921
01 Andalucía;Mujeres;De 26 a 30 años;2019;1.564
01 Andalucía;Mujeres;De 26 a 30 años;2018;1.765
01 Andalucía;Mujeres;De 26 a 30 años;2017;1.719
01 Andalucía;Mujeres;De 26 a 30 años;2016;1.537
01 Andalucía;Mujeres;De 26 a 30 años;2015;973
01 Andalucía;Mujeres;De 26 a 30 años;2014;855
01 Andalucía;Mujeres;De 26 a 30 años;2013;882
01 Andalucía;Mujeres;De 31 a 35 años;2019;1.622
01 Andalucía;Mujeres;De 31 a 35 años;2018;1.725
01 Andalucía;Mujeres;De 31 a 35 años;2017;1.723
01 Andalucía;Mujeres;De 31 a 35 años;2016;1.463
01 Andalucía;Mujeres;De 31 a 35 años;2015;964
01 Andalucía;Mujeres;De 31 a 35 años;2014;820
01 Andalucía;Mujeres;De 31 a 35 años;2013;810
01 Andalucía;Mujeres;De 36 a 40 años;2019;1.549
01 Andalucía;Mujeres;De 36 a 40 años;2018;1.624
01 Andalucía;Mujeres;De 36 a 40 años;2017;1.545
01 Andalucía;Mujeres;De 36 a 40 años;2016;1.301
01 Andalucía;Mujeres;De 36 a 40 años;2015;805
01 Andalucía;Mujeres;De 36 a 40 años;2014;721
01 Andalucía;Mujeres;De 36 a 40 años;2013;677
01 Andalucía;Mujeres;De 41 a 50 años;2019;2.230
01 Andalucía;Mujeres;De 41 a 50 años;2018;2.365
01 Andalucía;Mujeres;De 41 a 50 años;2017;2.151
01 Andalucía;Mujeres;De 41 a 50 años;2016;1.841
01 Andalucía;Mujeres;De 41 a 50 años;2015;1.142
01 Andalucía;Mujeres;De 41 a 50 años;2014;963
01 Andalucía;Mujeres;De 41 a 50 años;2013;914
01 Andalucía;Mujeres;De 51 a 60 años;2019;1.159
01 Andalucía;Mujeres;De 51 a 60 años;2018;1.125
01 Andalucía;Mujeres;De 51 a 60 años;2017;1.077
01 Andalucía;Mujeres;De 51 a 60 años;2016;882
01 Andalucía;Mujeres;De 51 a 60 años;2015;505
01 Andalucía;Mujeres;De 51 a 60 años;2014;379
01 Andalucía;Mujeres;De 51 a 60 años;2013;343
01 Andalucía;Mujeres;De 61 a 70 años;2019;417
01 Andalucía;Mujeres;De 61 a 70 años;2018;392
01 Andalucía;Mujeres;De 61 a 70 años;2017;380
01 Andalucía;Mujeres;De 61 a 70 años;2016;298
01 Andalucía;Mujeres;De 61 a 70 años;2015;134
01 Andalucía;Mujeres;De 61 a 70 años;2014;93
01 Andalucía;Mujeres;De 61 a 70 años;2013;87
01 Andalucía;Mujeres;71 y más años;2019;136
01 Andalucía;Mujeres;71 y más años;2018;134
01 Andalucía;Mujeres;71 y más años;2017;121
01 Andalucía;Mujeres;71 y más años;2016;92
01 Andalucía;Mujeres;71 y más años;2015;43
01 Andalucía;Mujeres;71 y más años;2014;17
01 Andalucía;Mujeres;71 y más años;2013;21
02 Aragón;Total;Total ;2019;6.742
02 Aragón;Total;Total ;2018;6.471
02 Aragón;Total;Total ;2017;6.583
02 Aragón;Total;Total ;2016;6.696
02 Aragón;Total;Total ;2015;5.501
02 Aragón;Total;Total ;2014;5.079
02 Aragón;Total;Total ;2013;4.931
